id,label,playoffs
121,DEN-1980,0
122,ATL-1980,1
123,CLE-1980,0
124,NYK-1980,0
125,LAL-1981,1
126,GSW-1981,0
127,IND-1981,1
128,PHO-1981,1
129,BOS-1981,1
130,SEA-1981,0
131,WSB-1981,0
132,POR-1981,1
133,UTA-1981,0
134,DET-1981,0
135,SDC-1981,0
136,KCK-1981,1
137,DAL-1981,0
138,CLE-1981,0
139,SAS-1981,1
140,MIL-1981,1
141,ATL-1981,0
142,NYK-1981,1
143,PHI-1981,1
144,NJN-1981,0
145,CHI-1981,1
146,HOU-1981,1
147,DEN-1981,0
148,LAL-1982,1
149,PHO-1982,1
150,DAL-1982,0
151,BOS-1982,1
152,POR-1982,0
153,SEA-1982,1
154,NJN-1982,1
155,WSB-1982,1
156,SAS-1982,1
157,IND-1982,0
158,PHI-1982,1
159,CLE-1982,0
160,DET-1982,0
161,MIL-1982,1
162,SDC-1982,0
163,GSW-1982,0
164,NYK-1982,0
165,ATL-1982,0
166,UTA-1982,0
167,KCK-1982,0
168,CHI-1982,0
169,HOU-1982,1
170,DEN-1982,1
171,LAL-1983,1
172,PHO-1983,1
173,DAL-1983,0
174,BOS-1983,1
175,PHI-1983,1
176,UTA-1983,0
177,SDC-1983,0
178,CLE-1983,0
179,NJN-1983,1
180,HOU-1983,0
181,WSB-1983,0
182,SAS-1983,1
183,DET-1983,0
184,CHI-1983,0
185,GSW-1983,0
186,MIL-1983,1
187,SEA-1983,1
188,ATL-1983,1
189,POR-1983,1
190,IND-1983,0
191,NYK-1983,1
192,KCK-1983,0
193,DEN-1983,1
194,LAL-1984,1
195,PHO-1984,1
196,DAL-1984,1
197,BOS-1984,1
198,UTA-1984,1
199,DEN-1984,1
200,MIL-1984,1
201,CLE-1984,0
202,HOU-1984,0
203,WSB-1984,1
204,SAS-1984,0
205,DET-1984,1
206,NJN-1984,1
207,GSW-1984,0
208,SDC-1984,0
209,SEA-1984,1
210,ATL-1984,1
211,CHI-1984,0
212,KCK-1984,1
213,POR-1984,1
214,IND-1984,0
215,NYK-1984,1
216,PHI-1984,1
217,LAL-1985,1
218,PHO-1985,1
219,DAL-1985,1
220,BOS-1985,1
221,GSW-1985,0
222,UTA-1985,1
223,CLE-1985,1
224,NYK-1985,0
225,WSB-1985,1
226,SAS-1985,1
227,PHI-1985,1
228,DET-1985,1
229,NJN-1985,1
230,POR-1985,1
231,MIL-1985,1
232,SEA-1985,0
233,LAC-1985,0
234,ATL-1985,0
235,IND-1985,0
236,KCK-1985,0
237,DEN-1985,1
238,CHI-1985,1
239,HOU-1985,1
240,LAL-1986,1
241,PHO-1986,0
242,SAC-1986,1
243,DAL-1986,1
244,BOS-1986,1
245,CLE-1986,0
246,IND-1986,0
247,NYK-1986,0
248,UTA-1986,1
249,GSW-1986,0
250,CHI-1986,1
251,PHI-1986,1
252,ATL-1986,1
253,LAC-1986,0
254,DET-1986,1
255,NJN-1986,1
256,WSB-1986,1
257,POR-1986,1
258,MIL-1986,1
259,SEA-1986,0
260,SAS-1986,1
261,DEN-1986,1
262,HOU-1986,1
263,LAL-1987,1
264,PHO-1987,0
265,WSB-1987,1
266,DAL-1987,1
267,BOS-1987,1
268,DEN-1987,1
269,HOU-1987,1
270,IND-1987,1
271,CLE-1987,0
272,NJN-1987,0
273,UTA-1987,1
274,GSW-1987,1
275,CHI-1987,1
276,PHI-1987,1
277,ATL-1987,1
278,LAC-1987,0
279,POR-1987,1
280,SAS-1987,0
281,MIL-1987,1
282,DET-1987,1
283,NYK-1987,0
284,SEA-1987,1
285,SAC-1987,0
286,LAL-1988,1
287,BOS-1988,1
288,PHO-1988,0
289,DEN-1988,1
290,DAL-1988,1
291,WSB-1988,1
292,SAS-1988,1
293,HOU-1988,1
294,POR-1988,1
295,IND-1988,0
296,PHI-1988,0
297,NJN-1988,0
298,UTA-1988,1
299,ATL-1988,1
300,DET-1988,1
301,LAC-1988,0
302,CLE-1988,1
303,MIL-1988,1
304,CHI-1988,1
305,NYK-1988,1
306,GSW-1988,0
307,SEA-1988,1
308,SAC-1988,0
309,LAL-1989,1
310,BOS-1989,1
311,DEN-1989,1
312,DAL-1989,0
313,DET-1989,1
314,SAC-1989,0
315,WSB-1989,0
316,GSW-1989,1
317,SAS-1989,0
318,POR-1989,1
319,PHI-1989,1
320,NJN-1989,0
321,UTA-1989,1
322,SEA-1989,1
323,LAC-1989,0
324,ATL-1989,1
325,HOU-1989,1
326,CHH-1989,0
327,MIL-1989,1
328,CHI-1989,1
329,PHO-1989,1
330,MIA-1989,0
331,CLE-1989,1
332,IND-1989,0
333,NYK-1989,1
334,ORL-1990,0
335,DEN-1990,1
336,DET-1990,1
337,SAC-1990,0
338,WSB-1990,0
339,DAL-1990,1
340,MIL-1990,1
341,CHH-1990,0
342,PHI-1990,1
343,SAS-1990,1
344,CHI-1990,1
345,BOS-1990,1
346,UTA-1990,1
347,LAC-1990,0
348,SEA-1990,0
349,ATL-1990,0
350,PHO-1990,1
351,CLE-1990,1
352,GSW-1990,0
353,NJN-1990,0
354,HOU-1990,1
355,MIN-1990,0
356,POR-1990,1
357,NYK-1990,1
358,LAL-1990,1
359,MIA-1990,0
360,IND-1990,1
361,POR-1991,1
362,DEN-1991,0
363,ORL-1991,0
364,DET-1991,1
365,WSB-1991,0
366,DAL-1991,0
367,MIL-1991,1
368,NJN-1991,0
369,PHI-1991,1
370,SAS-1991,1
371,CHI-1991,1
372,GSW-1991,1
373,MIA-1991,0
374,UTA-1991,1
375,LAC-1991,0
376,SEA-1991,1
377,ATL-1991,1
378,PHO-1991,1
379,CLE-1991,0
380,BOS-1991,1
381,CHH-1991,0
382,SAC-1991,0
383,MIN-1991,0
384,LAL-1991,1
385,HOU-1991,1
386,NYK-1991,1
387,IND-1991,1
388,POR-1992,1
389,DEN-1992,0
390,ORL-1992,0
391,WSB-1992,0
392,NJN-1992,1
393,DET-1992,1
394,GSW-1992,1
395,PHI-1992,0
396,SAS-1992,1
397,CHH-1992,0
398,NYK-1992,1
399,CHI-1992,1
400,MIA-1992,1
401,ATL-1992,0
402,UTA-1992,1
403,BOS-1992,1
404,MIN-1992,0
405,SEA-1992,1
406,CLE-1992,1
407,DAL-1992,0
408,SAC-1992,0
409,MIL-1992,0
410,LAL-1992,1
411,LAC-1992,1
412,HOU-1992,0
413,PHO-1992,1
414,IND-1992,1
415,MIL-1993,0
416,BOS-1993,1
417,DEN-1993,0
418,HOU-1993,1
419,WSB-1993,0
420,NJN-1993,1
421,DET-1993,0
422,PHO-1993,1
423,GSW-1993,0
424,ORL-1993,0
425,PHI-1993,0
426,SAS-1993,1
427,NYK-1993,1
428,CHI-1993,1
429,SAC-1993,0
430,SEA-1993,1
431,MIA-1993,0
432,ATL-1993,1
433,UTA-1993,1
434,MIN-1993,0
435,CLE-1993,1
436,LAL-1993,1
437,CHH-1993,1
438,DAL-1993,0
439,POR-1993,1
440,LAC-1993,1
441,IND-1993,1
442,BOS-1994,0
443,DEN-1994,1
444,WSB-1994,0
445,LAC-1994,0
446,PHO-1994,1
447,GSW-1994,1
448,DET-1994,0
449,NJN-1994,1
450,ORL-1994,1
451,SAS-1994,1
452,NYK-1994,1
453,CHI-1994,1
454,SEA-1994,1
455,MIA-1994,1
456,ATL-1994,1
457,PHI-1994,0
458,MIL-1994,0
459,MIN-1994,0
460,CLE-1994,1
461,CHH-1994,0
462,UTA-1994,1
463,LAL-1994,0
464,SAC-1994,0
465,HOU-1994,1
466,DAL-1994,0
467,POR-1994,1
468,IND-1994,1
469,SAC-1995,0
470,PHI-1995,0
471,DEN-1995,1
472,CHH-1995,1
473,DET-1995,0
474,PHO-1995,1
475,GSW-1995,0
476,ATL-1995,1
477,NJN-1995,0
478,ORL-1995,1
479,SAS-1995,1
480,NYK-1995,1
481,CHI-1995,1
482,SEA-1995,1
483,MIA-1995,0
484,MIL-1995,0
485,CLE-1995,1
486,UTA-1995,1
487,LAL-1995,1
488,HOU-1995,1
489,DAL-1995,0
490,BOS-1995,1
491,MIN-1995,0
492,POR-1995,1
493,WSB-1995,0
494,IND-1995,1
495,LAC-1995,0
496,DEN-1996,0
497,CHH-1996,0
498,SAS-1996,1
499,MIN-1996,0
500,PHI-1996,0
501,CLE-1996,1
502,VAN-1996,0
503,NJN-1996,0
504,ORL-1996,1
505,TOR-1996,0
506,NYK-1996,1
507,GSW-1996,0
508,SEA-1996,1
509,MIA-1996,1
510,ATL-1996,1
511,MIL-1996,0
512,PHO-1996,1
513,BOS-1996,0
514,LAC-1996,0
515,UTA-1996,1
516,IND-1996,1
517,LAL-1996,1
518,DAL-1996,0
519,HOU-1996,1
520,CHI-1996,1
521,WSB-1996,0
522,SAC-1996,1
523,POR-1996,1
524,DET-1996,1
525,SAC-1997,0
526,VAN-1997,0
527,CHH-1997,1
528,SAS-1997,0
529,IND-1997,0
530,DEN-1997,0
531,MIL-1997,0
532,ATL-1997,1
533,WSB-1997,1
534,POR-1997,1
535,ORL-1997,1
536,UTA-1997,1
537,MIA-1997,1
538,GSW-1997,0
539,NJN-1997,0
540,DET-1997,1
541,HOU-1997,1
542,BOS-1997,0
543,LAC-1997,1
544,TOR-1997,0
545,LAL-1997,1
546,DAL-1997,0
547,CLE-1997,0
548,NYK-1997,1
549,PHO-1997,1
550,CHI-1997,1
551,PHI-1997,0
552,MIN-1997,1
553,SEA-1997,1
554,SAC-1998,0
555,VAN-1998,0
556,SAS-1998,1
557,DEN-1998,0
558,MIL-1998,0
559,CLE-1998,1
560,ATL-1998,1
561,POR-1998,1
562,BOS-1998,0
563,ORL-1998,0
564,UTA-1998,1
565,DAL-1998,0
566,SEA-1998,1
567,GSW-1998,0
568,CHH-1998,1
569,MIA-1998,1
570,LAC-1998,0
571,HOU-1998,1
572,LAL-1998,1
573,PHI-1998,0
574,NJN-1998,1
575,IND-1998,1
576,TOR-1998,0
577,NYK-1998,1
578,CHI-1998,1
579,PHO-1998,1
580,MIN-1998,1
581,WAS-1998,0
582,DET-1998,0
583,SAC-1999,1
584,VAN-1999,0
585,DEN-1999,0
586,MIL-1999,1
587,CLE-1999,0
588,BOS-1999,0
589,ORL-1999,1
590,UTA-1999,1
591,DAL-1999,0
592,POR-1999,1
593,CHH-1999,0
594,MIA-1999,1
595,SEA-1999,0
596,HOU-1999,1
597,CHI-1999,0
598,PHI-1999,1
599,IND-1999,1
600,ATL-1999,1
601,LAL-1999,1
602,GSW-1999,0
603,NJN-1999,0
604,MIN-1999,1
605,TOR-1999,0
606,NYK-1999,1
607,DET-1999,1
608,PHO-1999,1
609,WAS-1999,0
610,LAC-1999,0
611,SAS-1999,1
612,ORL-2000,0
613,DEN-2000,0
614,VAN-2000,0
615,MIL-2000,1
616,LAC-2000,0
617,BOS-2000,0
618,SAC-2000,1
619,HOU-2000,0
620,CHI-2000,0
621,POR-2000,1
622,WAS-2000,0
623,MIN-2000,1
624,SEA-2000,1
625,IND-2000,1
626,CLE-2000,0
627,GSW-2000,0
628,PHO-2000,1
629,TOR-2000,1
630,ATL-2000,0
631,PHI-2000,1
632,MIA-2000,1
633,DAL-2000,0
634,SAS-2000,1
635,CHH-2000,1
636,NYK-2000,1
637,LAL-2000,1
638,DET-2000,1
639,NJN-2000,0
640,UTA-2000,1
641,VAN-2001,0
642,DEN-2001,0
643,ORL-2001,1
644,DAL-2001,1
645,WAS-2001,0
646,MIL-2001,1
647,SAS-2001,1
648,BOS-2001,0
649,SAC-2001,1
650,HOU-2001,0
651,POR-2001,1
652,DET-2001,0
653,MIN-2001,1
654,SEA-2001,0
655,PHI-2001,1
656,IND-2001,1
657,CHI-2001,0
658,UTA-2001,1
659,GSW-2001,0
660,PHO-2001,1
661,TOR-2001,1
662,ATL-2001,0
663,MIA-2001,1
664,LAC-2001,0
665,CLE-2001,0
666,CHH-2001,1
667,NYK-2001,1
668,LAL-2001,1
669,NJN-2001,0
670,DEN-2002,0
671,DAL-2002,1
672,ATL-2002,0
673,WAS-2002,0
674,DET-2002,1
675,MIA-2002,0
676,MIL-2002,0
677,UTA-2002,1
678,POR-2002,1
679,BOS-2002,1
680,MEM-2002,0
681,NYK-2002,0
682,CHI-2002,0
683,GSW-2002,0
684,ORL-2002,1
685,TOR-2002,1
686,CHH-2002,1
687,MIN-2002,1
688,SEA-2002,1
689,PHO-2002,0
690,PHI-2002,1
691,IND-2002,1
692,SAC-2002,1
693,SAS-2002,1
694,LAC-2002,0
695,HOU-2002,0
696,LAL-2002,1
697,CLE-2002,0
698,NJN-2002,1
699,DAL-2003,1
700,ATL-2003,0
701,NOH-2003,1
702,MIA-2003,0
703,MIL-2003,1
704,SEA-2003,0
705,TOR-2003,0
706,UTA-2003,1
707,DEN-2003,0
708,POR-2003,1
709,NYK-2003,0
710,GSW-2003,0
711,ORL-2003,1
712,DET-2003,1
713,BOS-2003,1
714,MEM-2003,0
715,CHI-2003,0
716,IND-2003,1
717,SAC-2003,1
718,CLE-2003,0
719,SAS-2003,1
720,LAC-2003,0
721,WAS-2003,0
722,PHO-2003,1
723,LAL-2003,1
724,PHI-2003,1
725,HOU-2003,0
726,NJN-2003,1
727,MIN-2003,1
728,ATL-2004,0
729,POR-2004,0
730,MIA-2004,1
731,SEA-2004,0
732,DEN-2004,1
733,IND-2004,1
734,NYK-2004,1
735,WAS-2004,0
736,NOH-2004,1
737,UTA-2004,0
738,DET-2004,1
739,BOS-2004,1
740,PHO-2004,0
741,LAC-2004,0
742,CLE-2004,0
743,MEM-2004,1
744,CHI-2004,0
745,TOR-2004,0
746,DAL-2004,1
747,SAC-2004,1
748,ORL-2004,0
749,SAS-2004,1
750,GSW-2004,0
751,LAL-2004,1
752,PHI-2004,0
753,MIN-2004,1
754,HOU-2004,1
755,NJN-2004,1
756,MIL-2004,1
757,POR-2005,0
758,CHA-2005,0
759,MIA-2005,1
760,SEA-2005,1
761,BOS-2005,1
762,TOR-2005,0
763,NOH-2005,0
764,ATL-2005,0
765,LAC-2005,0
766,NYK-2005,0
767,DEN-2005,1
768,WAS-2005,1
769,DAL-2005,1
770,UTA-2005,0
771,DET-2005,1
772,LAL-2005,0
773,ORL-2005,0
774,HOU-2005,1
775,PHO-2005,1
776,SAC-2005,1
777,SAS-2005,1
778,MEM-2005,1
779,IND-2005,1
780,NJN-2005,1
781,GSW-2005,0
782,MIL-2005,0
783,PHI-2005,1
784,MIN-2005,0
785,CHI-2005,1
786,CLE-2005,0
787,SAC-2006,1
788,CHI-2006,1
789,SEA-2006,0
790,BOS-2006,0
791,HOU-2006,0
792,NOK-2006,0
793,CHA-2006,0
794,MIA-2006,1
795,DEN-2006,1
796,TOR-2006,0
797,WAS-2006,1
798,NYK-2006,0
799,ORL-2006,0
800,DAL-2006,1
801,DET-2006,1
802,MEM-2006,1
803,LAC-2006,1
804,MIN-2006,0
805,PHO-2006,1
806,PHI-2006,0
807,SAS-2006,1
808,MIL-2006,1
809,IND-2006,1
810,GSW-2006,0
811,POR-2006,0
812,UTA-2006,0
813,LAL-2006,1
814,NJN-2006,1
815,ATL-2006,0
816,CLE-2006,1
817,SAC-2007,0
818,POR-2007,0
819,CHI-2007,1
820,SEA-2007,0
821,BOS-2007,0
822,HOU-2007,1
823,UTA-2007,1
824,PHI-2007,0
825,CHA-2007,0
826,DEN-2007,1
827,WAS-2007,1
828,ORL-2007,1
829,IND-2007,0
830,NOK-2007,0
831,MEM-2007,0
832,GSW-2007,1
833,NYK-2007,0
834,PHO-2007,1
835,DAL-2007,1
836,TOR-2007,1
837,MIA-2007,1
838,SAS-2007,1
839,MIL-2007,0
840,DET-2007,1
841,MIN-2007,0
842,NJN-2007,1
843,LAC-2007,0
844,LAL-2007,1
845,CLE-2007,1
846,ATL-2007,0
847,SAC-2008,0
848,DET-2008,1
849,POR-2008,0
850,NJN-2008,0
851,DAL-2008,1
852,BOS-2008,1
853,HOU-2008,1
854,PHI-2008,1
855,NOH-2008,1
856,CHA-2008,0
857,DEN-2008,1
858,MIA-2008,0
859,WAS-2008,1
860,ORL-2008,1
861,LAL-2008,1
862,GSW-2008,0
863,NYK-2008,0
864,PHO-2008,1
865,TOR-2008,1
866,SAS-2008,1
867,MIL-2008,0
868,ATL-2008,1
869,UTA-2008,1
870,LAC-2008,0
871,MIN-2008,0
872,CLE-2008,1
873,MEM-2008,0
874,CHI-2008,0
875,SEA-2008,0
876,IND-2008,0
877,DET-2009,1
878,CHA-2009,0
879,POR-2009,1
880,MIL-2009,0
881,BOS-2009,1
882,HOU-2009,1
883,ORL-2009,1
884,PHO-2009,0
885,DEN-2009,1
886,NJN-2009,0
887,MIA-2009,1
888,WAS-2009,0
889,LAL-2009,1
890,NOH-2009,1
891,MEM-2009,0
892,OKC-2009,0
893,GSW-2009,0
894,TOR-2009,0
895,DAL-2009,1
896,ATL-2009,1
897,SAS-2009,1
898,MIN-2009,0
899,SAC-2009,0
900,UTA-2009,1
901,PHI-2009,1
902,LAC-2009,0
903,NYK-2009,0
904,IND-2009,0
905,CHI-2009,1
906,CLE-2009,1
907,DEN-2010,1
908,CHA-2010,1
909,POR-2010,1
910,BOS-2010,1
911,NJN-2010,0
912,MIA-2010,1
913,PHO-2010,1
914,HOU-2010,0
915,ORL-2010,1
916,WAS-2010,0
917,NOH-2010,0
918,SAC-2010,0
919,MEM-2010,0
920,DET-2010,0
921,GSW-2010,0
922,TOR-2010,0
923,DAL-2010,1
924,NYK-2010,0
925,MIL-2010,1
926,ATL-2010,1
927,SAS-2010,1
928,LAC-2010,0
929,UTA-2010,1
930,OKC-2010,1
931,PHI-2010,0
932,MIN-2010,0
933,CHI-2010,1
934,LAL-2010,1
935,IND-2010,0
936,CLE-2010,1
937,GSW-2011,0
938,DEN-2011,1
939,DAL-2011,1
940,TOR-2011,0
941,OKC-2011,1
942,POR-2011,1
943,ORL-2011,1
944,BOS-2011,1
945,MEM-2011,1
946,LAC-2011,0
947,NOH-2011,1
948,SAS-2011,1
949,NYK-2011,1
950,MIA-2011,1
951,WAS-2011,0
952,ATL-2011,1
953,CHI-2011,1
954,CHA-2011,0
955,LAL-2011,1
956,PHO-2011,0
957,MIL-2011,0
958,PHI-2011,1
959,HOU-2011,0
960,MIN-2011,0
961,UTA-2011,0
962,DET-2011,0
963,SAC-2011,0
964,IND-2011,1
965,CLE-2011,0
966,NJN-2011,0
967,HOU-2012,0
968,DEN-2012,1
969,OKC-2012,1
970,POR-2012,0
971,PHI-2012,1
972,BOS-2012,1
973,MEM-2012,1
974,NOH-2012,0
975,IND-2012,1
976,TOR-2012,0
977,SAS-2012,1
978,ORL-2012,1
979,NYK-2012,1
980,MIA-2012,1
981,CHI-2012,1
982,CHA-2012,0
983,DAL-2012,1
984,MIN-2012,0
985,LAL-2012,1
986,GSW-2012,0
987,UTA-2012,1
988,LAC-2012,1
989,WAS-2012,0
990,NJN-2012,0
991,MIL-2012,0
992,PHO-2012,0
993,DET-2012,0
994,CLE-2012,0
995,ATL-2012,1
996,SAC-2012,0
997,TOR-2013,0
998,CHA-2013,0
999,ORL-2013,0
1000,HOU-2013,1
1001,SAC-2013,0
1002,POR-2013,0
1003,PHI-2013,0
1004,MIA-2013,1
1005,MEM-2013,1
1006,NOH-2013,0
1007,MIN-2013,0
1008,CHI-2013,1
1009,SAS-2013,1
1010,NYK-2013,1
1011,WAS-2013,0
1012,IND-2013,1
1013,MIL-2013,1
1014,BOS-2013,1
1015,GSW-2013,1
1016,LAC-2013,1
1017,PHO-2013,0
1018,DAL-2013,0
1019,LAL-2013,1
1020,BRK-2013,1
1021,DEN-2013,1
1022,OKC-2013,1
1023,UTA-2013,0
1024,DET-2013,0
1025,CLE-2013,0
1026,ATL-2013,0
1027,TOR-2014,1
1028,SAC-2014,0
1029,OKC-2014,1
1030,CHA-2014,1
1031,MIL-2014,0
1032,ORL-2014,0
1033,NOP-2014,0
1034,NYK-2014,0
1035,POR-2014,1
1036,PHI-2014,0
1037,IND-2014,1
1038,MIA-2014,1
1039,MEM-2014,1
1040,CHI-2014,1
1041,BRK-2014,1
1042,BOS-2014,0
1043,ATL-2014,1
1044,WAS-2014,1
1045,GSW-2014,1
1046,DEN-2014,0
1047,HOU-2014,1
1048,SAS-2014,1
1049,PHO-2014,0
1050,MIN-2014,0
1051,LAC-2014,1
1052,LAL-2014,0
1053,CLE-2014,0
1054,UTA-2014,0
1055,DET-2014,0
1056,DAL-2014,1
1057,NYK-2015,0
1058,OKC-2015,0
1059,MIN-2015,0
1060,DEN-2015,0
1061,POR-2015,1
1062,NOP-2015,1
1063,IND-2015,0
1064,MEM-2015,1
1065,DAL-2015,1
1066,CLE-2015,1
1067,MIA-2015,0
1068,BRK-2015,1
1069,SAS-2015,1
1070,MIL-2015,1
1071,DET-2015,0
1072,ATL-2015,1
1073,HOU-2015,1
1074,GSW-2015,1
1075,LAC-2015,1
1076,PHO-2015,0
1077,BOS-2015,1
1078,WAS-2015,1
1079,CHO-2015,0
1080,LAL-2015,0
1081,UTA-2015,0
1082,CHI-2015,1
1083,PHI-2015,0
1084,SAC-2015,0
1085,ORL-2015,0
1086,TOR-2015,1
1087,SAC-2016,0
1088,OKC-2016,1
1089,NYK-2016,0
1090,NOP-2016,0
1091,LAC-2016,1
1092,SAS-2016,1
1093,IND-2016,1
1094,MEM-2016,1
1095,POR-2016,1
1096,MIA-2016,1
1097,WAS-2016,0
1098,DAL-2016,1
1099,MIL-2016,0
1100,DET-2016,1
1101,HOU-2016,1
1102,DEN-2016,0
1103,GSW-2016,1
1104,BRK-2016,0
1105,LAL-2016,0
1106,CHO-2016,1
1107,ATL-2016,1
1108,TOR-2016,1
1109,MIN-2016,0
1110,PHO-2016,0
1111,UTA-2016,0
1112,BOS-2016,1
1113,PHI-2016,0
1114,CHI-2016,0
1115,ORL-2016,0
1116,CLE-2016,1
1117,OKC-2017,1
1118,DAL-2017,0
1119,BRK-2017,0
1120,SAC-2017,0
1121,NOP-2017,0
1122,MIN-2017,0
1123,SAS-2017,1
1124,IND-2017,1
1125,MEM-2017,1
1126,POR-2017,1
1127,CLE-2017,1
1128,LAC-2017,1
1129,PHI-2017,1
1130,HOU-2017,1
1131,MIL-2017,1
1132,NYK-2017,0
1133,DEN-2017,0
1134,ORL-2017,0
1135,MIA-2017,0
1136,PHO-2017,0
1137,GSW-2017,1
1138,CHO-2017,0
1139,DET-2017,0
1140,ATL-2017,1
1141,WAS-2017,1
1142,LAL-2017,0
1143,BOS-2017,1
1144,UTA-2017,1
1145,CHI-2017,1
1146,TOR-2017,1
